Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BugPage_GeneralTabScenarios,Chrome 66.0.3359.139,,2018-05-08 15:01:07,2018-05-08 15:01:32,24.966s,FAILED
,,,,,,
Test Cases/BugPage_GeneralTab_TestCases/VerifyBugInfoFields_CanBe_Edited_Commited,Chrome 66.0.3359.139,,2018-05-08 15:01:07,2018-05-08 15:01:29,21.202s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-08 15:01:08,2018-05-08 15:01:11,3.278s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-08 15:01:11,2018-05-08 15:01:18,6.305s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-08 15:01:18,2018-05-08 15:01:18,0.212s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 15:01:18,2018-05-08 15:01:19,1.055s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 15:01:19,2018-05-08 15:01:20,0.784s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 15:01:20,2018-05-08 15:01:20,0.281s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 15:01:20,2018-05-08 15:01:20,0.576s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-08 15:01:20,2018-05-08 15:01:21,1.037s,PASSED
sendKeys,Chrome 66.0.3359.139,,2018-05-08 15:01:22,2018-05-08 15:01:22,0.272s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-08 15:01:22,2018-05-08 15:01:25,3.006s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(BugsPage_GeneralTab/a_General), 1))",Chrome 66.0.3359.139,,2018-05-08 15:01:25,2018-05-08 15:01:25,0.270s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(BugsPage_GeneralTab/bugInfoBox), 1))",Chrome 66.0.3359.139,,2018-05-08 15:01:25,2018-05-08 15:01:26,0.699s,PASSED
newKey.ClearFields.ClearTextField,Chrome 66.0.3359.139,,2018-05-08 15:01:26,2018-05-08 15:01:26,0.535s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 15:01:26,2018-05-08 15:01:28,1.924s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 15:01:28,2018-05-08 15:01:28,0.271s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyAlertPresent(2)),Chrome 66.0.3359.139,,2018-05-08 15:01:28,2018-05-08 15:01:29,0.106s,FAILED
,,,,,,
Test Cases/BugPage_GeneralTab_TestCases/VerifyStatusBoxFields_canBe_Edited,Chrome 66.0.3359.139,,2018-05-08 15:01:29,2018-05-08 15:01:31,2.421s,FAILED
delay,Chrome 66.0.3359.139,,2018-05-08 15:01:29,2018-05-08 15:01:31,2.004s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(BugsPage_GeneralTab/Status-Box/statusBox), 1))",Chrome 66.0.3359.139,,2018-05-08 15:01:31,2018-05-08 15:01:31,0.064s,FAILED
