Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTestSuite,Chrome 64.0.3282.186,,2018-03-29 15:53:27,2018-03-29 15:59:02,5m - 34.395s,FAILED
,,,,,,
Test Cases/Login_TestCases/InvalidLoginsCases,Chrome 64.0.3282.186,TC004- Verify whether user is able to login with only user ID\nTC005 - Verify whether user is able to login with only Password\nTC006 - Verify whether user is able to login by giving wrong credentials,2018-03-29 15:53:28,2018-03-29 15:53:29,1.091s,FAILED
setText,Chrome 64.0.3282.186,,2018-03-29 15:53:28,2018-03-29 15:53:29,0.568s,FAILED
,,,,,,
Test Cases/Login_TestCases/ValidSuccessfulLogin,Chrome 64.0.3282.186,Login into Bugzilla UI,2018-03-29 15:53:29,2018-03-29 15:54:00,30.996s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-29 15:53:29,2018-03-29 15:53:33,3.202s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-29 15:53:33,2018-03-29 15:53:58,25.354s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-29 15:53:58,2018-03-29 15:53:59,0.798s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-29 15:53:59,2018-03-29 15:53:59,0.194s,PASSED
click,Chrome 64.0.3282.186,,2018-03-29 15:53:59,2018-03-29 15:53:59,0.184s,PASSED
verifyElementAttributeValue,Chrome 64.0.3282.186,,2018-03-29 15:53:59,2018-03-29 15:53:59,0.128s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-29 15:53:59,2018-03-29 15:54:00,0.821s,PASSED
,,,,,,
Test Cases/NewBugCreation_TestCases/NewBugPage,Chrome 64.0.3282.186,,2018-03-29 15:54:00,2018-03-29 15:54:55,54.508s,PASSED
Statement - act_classification_Options = new java.util.ArrayList(),Chrome 64.0.3282.186,,2018-03-29 15:54:00,2018-03-29 15:54:00,0.001s,PASSED
Statement - exp_classification_Options = new java.util.ArrayList(),Chrome 64.0.3282.186,,2018-03-29 15:54:00,2018-03-29 15:54:00,0.001s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-29 15:54:00,2018-03-29 15:54:09,9.018s,PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-29 15:54:09,2018-03-29 15:54:11,1.164s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-29 15:54:11,2018-03-29 15:54:27,16.391s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-29 15:54:27,2018-03-29 15:54:34,7.154s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-29 15:54:34,2018-03-29 15:54:34,0.214s,PASSED
click,Chrome 64.0.3282.186,,2018-03-29 15:54:34,2018-03-29 15:54:34,0.130s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-29 15:54:34,2018-03-29 15:54:38,3.035s,PASSED
Statement - newBugTabVisible = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Dashboard/a_New bug)),Chrome 64.0.3282.186,,2018-03-29 15:54:38,2018-03-29 15:54:39,1.183s,PASSED
Statement - If (newBugTabVisible),Chrome 64.0.3282.186,,2018-03-29 15:54:39,2018-03-29 15:54:39,0.091s,PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-29 15:54:39,2018-03-29 15:54:39,0.692s,PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-29 15:54:39,2018-03-29 15:54:40,0.064s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-29 15:54:40,2018-03-29 15:54:43,3.003s,PASSED
Statement - defaultClassificationValue = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI New Bug/DefaultClassification)),Chrome 64.0.3282.186,,2018-03-29 15:54:43,2018-03-29 15:54:43,0.108s,PASSED
"Statement - println(""------Selected default value------:"" + defaultClassificationValue)",Chrome 64.0.3282.186,,2018-03-29 15:54:43,2018-03-29 15:54:43,0.004s,PASSED
verifyEqual,Chrome 64.0.3282.186,,2018-03-29 15:54:43,2018-03-29 15:54:45,1.931s,PASSED
Statement - defaultPackageUIValue = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI New Bug/DefaultPackageUI)),Chrome 64.0.3282.186,,2018-03-29 15:54:45,2018-03-29 15:54:45,0.083s,PASSED
"Statement - println(""------Selected default package value------:"" + defaultPackageUIValue)",Chrome 64.0.3282.186,,2018-03-29 15:54:45,2018-03-29 15:54:45,0.001s,PASSED
verifyEqual,Chrome 64.0.3282.186,,2018-03-29 15:54:45,2018-03-29 15:54:45,0.002s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-29 15:54:45,2018-03-29 15:54:46,1.004s,PASSED
selectOptionByLabel,Chrome 64.0.3282.186,,2018-03-29 15:54:46,2018-03-29 15:54:51,5.479s,PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-29 15:54:51,2018-03-29 15:54:51,0.073s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-29 15:54:51,2018-03-29 15:54:54,3.004s,PASSED
selectOptionByLabel,Chrome 64.0.3282.186,,2018-03-29 15:54:54,2018-03-29 15:54:54,0.195s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-29 15:54:54,2018-03-29 15:54:55,0.082s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-29 15:54:55,2018-03-29 15:54:55,0.031s,PASSED
,,,,,,
Test Cases/NewBugCreation_TestCases/ValidateNewBugPageFields,Chrome 64.0.3282.186,,2018-03-29 15:54:55,2018-03-29 15:54:58,3.063s,PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-29 15:54:55,2018-03-29 15:54:55,0.072s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-29 15:54:55,2018-03-29 15:54:55,0.035s,PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-29 15:54:55,2018-03-29 15:54:55,0.070s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-29 15:54:55,2018-03-29 15:54:55,0.040s,PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-29 15:54:55,2018-03-29 15:54:55,0.071s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-29 15:54:55,2018-03-29 15:54:55,0.035s,PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-29 15:54:55,2018-03-29 15:54:55,0.070s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-29 15:54:55,2018-03-29 15:54:55,0.030s,PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-29 15:54:55,2018-03-29 15:54:55,0.066s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-29 15:54:55,2018-03-29 15:54:55,0.039s,PASSED
