Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTestSuite,Chrome 64.0.3282.186,,2018-03-29 17:34:03,2018-03-29 17:38:17,4m - 14.135s,FAILED
,,,,,,
Test Cases/Login_TestCases/VerifyPresenceOfFields_Links_LoginPage,Chrome 64.0.3282.186,"TC001-Verify whether user Id and Password fields appear\nTC002- Verify the presence of Register, Forgot password and Change password link in Login page.",2018-03-29 17:34:04,2018-03-29 17:34:17,13.493s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-29 17:34:04,2018-03-29 17:34:09,5.134s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-29 17:34:09,2018-03-29 17:34:16,6.361s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-29 17:34:16,2018-03-29 17:34:17,1.169s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-29 17:34:17,2018-03-29 17:34:17,0.061s,PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-29 17:34:17,2018-03-29 17:34:17,0.120s,PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-29 17:34:17,2018-03-29 17:34:17,0.081s,PASSED
"Statement - loginButtonPresent = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI login/button_Login), 0)",Chrome 64.0.3282.186,,2018-03-29 17:34:17,2018-03-29 17:34:17,0.043s,PASSED
Statement - If (loginButtonPresent),Chrome 64.0.3282.186,,2018-03-29 17:34:17,2018-03-29 17:34:17,0.066s,PASSED
,,,,,,
Test Cases/Login_TestCases/InvalidLoginsCases,Chrome 64.0.3282.186,TC004- Verify whether user is able to login with only user ID\nTC005 - Verify whether user is able to login with only Password\nTC006 - Verify whether user is able to login by giving wrong credentials,2018-03-29 17:34:17,2018-03-29 17:34:23,5.480s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-29 17:34:17,2018-03-29 17:34:18,0.244s,PASSED
Statement - loginButtonClickable = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementClickable(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI login/button_Login)),Chrome 64.0.3282.186,,2018-03-29 17:34:18,2018-03-29 17:34:18,0.035s,PASSED
Statement - If (loginButtonClickable),Chrome 64.0.3282.186,,2018-03-29 17:34:18,2018-03-29 17:34:18,0.120s,PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-29 17:34:18,2018-03-29 17:34:18,0.071s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-29 17:34:18,2018-03-29 17:34:18,0.166s,PASSED
"Statement - com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI login/input_value_userid), 2).clear()",Chrome 64.0.3282.186,,2018-03-29 17:34:18,2018-03-29 17:34:18,0.088s,PASSED
click,Chrome 64.0.3282.186,,2018-03-29 17:34:18,2018-03-29 17:34:18,0.104s,PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-29 17:34:18,2018-03-29 17:34:18,0.093s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-29 17:34:18,2018-03-29 17:34:19,0.244s,PASSED
click,Chrome 64.0.3282.186,,2018-03-29 17:34:19,2018-03-29 17:34:19,0.087s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-29 17:34:19,2018-03-29 17:34:22,3.035s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI login/small_Invalid User IdPassword), 0))",Chrome 64.0.3282.186,,2018-03-29 17:34:22,2018-03-29 17:34:22,0.160s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-29 17:34:22,2018-03-29 17:34:23,0.728s,PASSED
,,,,,,
Test Cases/Login_TestCases/ValidSuccessfulLogin,Chrome 64.0.3282.186,Login into Bugzilla UI,2018-03-29 17:34:23,2018-03-29 17:34:35,12.830s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-29 17:34:23,2018-03-29 17:34:26,3.466s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-29 17:34:26,2018-03-29 17:34:33,6.246s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-29 17:34:33,2018-03-29 17:34:34,1.297s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-29 17:34:34,2018-03-29 17:34:34,0.190s,PASSED
click,Chrome 64.0.3282.186,,2018-03-29 17:34:34,2018-03-29 17:34:34,0.113s,PASSED
verifyElementAttributeValue,Chrome 64.0.3282.186,,2018-03-29 17:34:34,2018-03-29 17:34:34,0.071s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-29 17:34:34,2018-03-29 17:34:35,1.210s,PASSED
,,,,,,
Test Cases/NewBugCreation_TestCases/NewBugPage,Chrome 64.0.3282.186,,2018-03-29 17:34:35,2018-03-29 17:35:04,28.861s,PASSED
Statement - act_classification_Options = new java.util.ArrayList(),Chrome 64.0.3282.186,,2018-03-29 17:34:36,2018-03-29 17:34:36,0.002s,PASSED
Statement - exp_classification_Options = new java.util.ArrayList(),Chrome 64.0.3282.186,,2018-03-29 17:34:36,2018-03-29 17:34:36,0.000s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-29 17:34:36,2018-03-29 17:34:38,2.089s,PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-29 17:34:38,2018-03-29 17:34:39,1.177s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-29 17:34:39,2018-03-29 17:34:47,7.485s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-29 17:34:47,2018-03-29 17:34:48,1.290s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-29 17:34:48,2018-03-29 17:34:48,0.203s,PASSED
click,Chrome 64.0.3282.186,,2018-03-29 17:34:48,2018-03-29 17:34:48,0.108s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-29 17:34:48,2018-03-29 17:34:51,3.004s,PASSED
Statement - newBugTabVisible = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Dashboard/a_New bug)),Chrome 64.0.3282.186,,2018-03-29 17:34:51,2018-03-29 17:34:51,0.084s,PASSED
Statement - If (newBugTabVisible),Chrome 64.0.3282.186,,2018-03-29 17:34:51,2018-03-29 17:34:51,0.089s,PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-29 17:34:51,2018-03-29 17:34:56,4.755s,PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-29 17:34:56,2018-03-29 17:34:56,0.055s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-29 17:34:56,2018-03-29 17:34:59,3.005s,PASSED
Statement - defaultClassificationValue = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI New Bug/DefaultClassification)),Chrome 64.0.3282.186,,2018-03-29 17:34:59,2018-03-29 17:34:59,0.109s,PASSED
"Statement - println(""------Selected default value------:"" + defaultClassificationValue)",Chrome 64.0.3282.186,,2018-03-29 17:34:59,2018-03-29 17:34:59,0.004s,PASSED
verifyEqual,Chrome 64.0.3282.186,,2018-03-29 17:34:59,2018-03-29 17:34:59,0.012s,PASSED
Statement - defaultPackageUIValue = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI New Bug/DefaultPackageUI)),Chrome 64.0.3282.186,,2018-03-29 17:34:59,2018-03-29 17:34:59,0.057s,PASSED
"Statement - println(""------Selected default package value------:"" + defaultPackageUIValue)",Chrome 64.0.3282.186,,2018-03-29 17:34:59,2018-03-29 17:34:59,0.001s,PASSED
