Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SearchScenarios,Chrome 66.0.3359.181,,2018-05-29 11:43:51,2018-05-29 11:45:13,1m - 21.557s,FAILED
,,,,,,
Test Cases/Search_TestCases/VerifySearchPageLoads,Chrome 66.0.3359.181,,2018-05-29 11:43:52,2018-05-29 11:44:16,23.984s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-29 11:43:52,2018-05-29 11:43:55,2.963s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-29 11:43:55,2018-05-29 11:44:00,5.248s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-29 11:44:00,2018-05-29 11:44:01,0.218s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-29 11:44:01,2018-05-29 11:44:02,1.050s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-29 11:44:02,2018-05-29 11:44:03,0.842s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:44:03,2018-05-29 11:44:03,0.344s,PASSED
verifyElementAttributeValue,Chrome 66.0.3359.181,,2018-05-29 11:44:03,2018-05-29 11:44:03,0.185s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:44:03,2018-05-29 11:44:05,2.045s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Dashboard/a_Search))),Chrome 66.0.3359.181,,2018-05-29 11:44:05,2018-05-29 11:44:06,0.470s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:44:06,2018-05-29 11:44:11,5.004s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-29 11:44:11,2018-05-29 11:44:11,0.164s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:44:11,2018-05-29 11:44:16,5.003s,PASSED
,,,,,,
Test Cases/Search_TestCases/Search_With_PackageOnly,Chrome 66.0.3359.181,,2018-05-29 11:44:16,2018-05-29 11:45:03,47.458s,FAILED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Search/button_Package), 0))",Chrome 66.0.3359.181,,2018-05-29 11:44:16,2018-05-29 11:44:19,3.161s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:44:19,2018-05-29 11:44:25,6.005s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Search/input_form-control searchField), 5))",Chrome 66.0.3359.181,,2018-05-29 11:44:25,2018-05-29 11:44:27,1.664s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:44:27,2018-05-29 11:44:29,2.002s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Search/button_Search), 0))",Chrome 66.0.3359.181,,2018-05-29 11:44:29,2018-05-29 11:45:03,34.306s,FAILED
,,,,,,
Test Cases/Search_TestCases/Verify_searchResult_bugId_clickable,Chrome 66.0.3359.181,Verify whether search result bugs is clickable and on click is navigated to its bug id page,2018-05-29 11:45:03,2018-05-29 11:45:12,8.795s,PASSED
Statement - idNumber = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 66.0.3359.181,,2018-05-29 11:45:03,2018-05-29 11:45:03,0.000s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Search/searchResult_1st_ID), 0))",Chrome 66.0.3359.181,,2018-05-29 11:45:03,2018-05-29 11:45:08,4.346s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:45:08,2018-05-29 11:45:12,4.003s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:45:12,2018-05-29 11:45:12,0.086s,PASSED
Statement - bugId = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI BugID page/div_BugID_NO)),Chrome 66.0.3359.181,,2018-05-29 11:45:12,2018-05-29 11:45:12,0.124s,PASSED
"Statement - println(""BUGID is---"" + bugId)",Chrome 66.0.3359.181,,2018-05-29 11:45:12,2018-05-29 11:45:12,0.001s,PASSED
Statement - If (bugId.contains(idNumber)),Chrome 66.0.3359.181,,2018-05-29 11:45:12,2018-05-29 11:45:12,0.001s,PASSED
